Week,Day,Date,Result,Rec,Opp,Vike.Score,Opp.Score,O.1stD,O.TotYd,O.PassY,O.RushY,D.1stD,D.TotYd,D.PassY,D.RushY
1,Mon,14-Sep,L,0-1,San Francisco 49ers,3,20,17,248,177,71,25,395,165,230
2,Sun,20-Sep,W,1-Jan,Detroit Lions,26,16,20,350,151,199,25,323,285,38
3,Sun,27-Sep,W,1-Feb,San Diego Chargers,31,14,18,284,121,163,21,369,279,90
4,Sun,4-Oct,L,2-Feb,Denver Broncos,20,23,19,325,212,113,18,344,200,144
6,Sun,18-Oct,W,2-Mar,Kansas City Chiefs,16,10,16,321,237,84,16,328,271,57
7,Sun,25-Oct,W,2-Apr,Detroit Lions,28,19,25,425,285,140,14,274,197,77
8,Sun,1-Nov,W,2-May,Chicago Bears,23,20,17,327,180,147,18,305,208,97
9,Sun,8-Nov,W,2-Jun,St. Louis Rams,21,18,21,293,148,145,18,320,160,160
10,Sun,15-Nov,W,2-Jul,Oakland Raiders,30,14,21,385,122,263,20,371,287,84
11,Sun,22-Nov,L,3-Jul,Green Bay Packers,13,30,16,342,248,94,19,320,196,124
12,Sun,29-Nov,W,3-Aug,Atlanta Falcons,20,10,24,365,174,191,22,326,210,116
13,Sun,6-Dec,L,4-Aug,Seattle Seahawks,7,38,9,125,94,31,25,433,260,173
14,Thu,10-Dec,L,5-Aug,Arizona Cardinals,20,23,23,389,317,72,22,393,296,97
15,Sun,20-Dec,W,5-Sep,Chicago Bears,38,17,20,350,221,129,21,293,199,94
16,Sun,27-Dec,W,5-Oct,New York Giants,49,17,17,368,150,218,15,363,272,91
17,Sun,3-Jan,W,5-Nov,Green Bay Packers,20,13,14,242,91,151,19,350,274,76
Wild Card,Sun,10-Jan,L,6-Nov,Seattle Seahawks,9,10,14,183,125,58,13,226,129,97
